USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
013570,99999,HOLLEKOLTEN,NO,,,+60.867,+008.517,+0804.2,19730101,20150513
013580,99999,HEMSEDAL II,NO,,,+60.850,+008.600,+0604.0,20110929,20150513
013590,99999,GEILO-OLDEBRATEN,NO,,,+60.533,+008.200,+0773.0,19730101,20150513
013591,99999,HAUGASTOL,NO,,,+60.517,+007.867,+0988.0,20070307,20070307
013600,99999,BRATA-SLETTOM,NO,,,+61.900,+007.900,+0664.0,19730101,20150512
013610,99999,GROTLI III,NO,,,+62.017,+007.667,+0872.0,19730101,20150513
013620,99999,JUVVASSHOE,NO,,,+61.667,+008.367,+1894.0,20090626,20150513
013640,99999,FILEFJELL,NO,,,+61.183,+008.117,+0955.1,19490101,20150513
013650,99999,BEITOSTOLEN II,NO,,,+65.250,+008.917,+0965.0,19730404,20150513
013660,99999,SOGNEFJELL,NO,,,+61.567,+008.000,+1413.0,19790301,20150513
013670,99999,FAGERNES,NO,,,+60.983,+009.217,+0365.4,19821001,20150513
013671,99999,BEITOSTOLEN,NO,,,+61.233,+008.933,+0828.0,19730101,19801105
013680,99999,LEIRIN,NO,,ENFG,+61.016,+009.288,+0822.0,19881014,20150513
013690,99999,ABJORSBRATEN,NO,,,+60.917,+009.283,+0639.0,19881001,20150512
013700,99999,SKABU,NO,,,+61.517,+009.400,+0928.0,19730101,20150513
013710,99999,LOKEN I VOLBU,NO,,,+61.117,+009.067,+0521.0,19730101,20150513
013720,99999,NESBYEN-SKOGLUND,NO,,,+60.567,+009.133,+0167.0,19730101,20040121
013730,99999,NESBYEN-TODOKK,NO,,,+60.567,+009.133,+0166.0,19730101,20150223
013740,99999,VEST-TORPA II,NO,,,+60.933,+010.033,+0542.0,19810501,20150513
013743,99999,FAGERNES/LEIRIN   &,NO,,,+61.000,+009.300,+0822.0,19880105,19880913
